provinceName,currentConfirm,confirm,death,cure
宁波,0,157,0,157
台州,0,147,0,147
金华,0,55,0,55
嘉兴,0,46,0,46
绍兴,0,42,0,42
省十里丰监狱,0,36,0,36
丽水,0,17,0,17
衢州,0,14,0,14
湖州,0,10,0,10
舟山,0,10,0,10
provinceName,currentConfirm,confirm,death,cure
北京市,32,1190,9,1149
cityName,currentConfirm,confirm,death,cure
境外输入,69,306,0,237
昌平区,36,70,0,34
海淀区,7,89,0,82
房山区,5,25,0,20
丰台区,4,277,0,273
朝阳区,4,84,0,80
大兴区,0,134,0,134
西城区,0,59,0,59
顺义区,0,45,0,45
外地来京,0,25,0,25
通州区,0,20,0,20
东城区,0,19,0,19
石景山区,0,15,0,15
怀柔区,0,8,0,8
密云区,0,7,0,7
门头沟区,0,5,0,5
延庆区,0,1,0,1
待明确地区,-93,1,9,85
provinceName,currentConfirm,confirm,death,cure
山东省,31,1000,7,962
cityName,currentConfirm,confirm,death,cure
境外输入,20,197,0,177
日照,11,30,0,19
济宁,0,260,0,260
青岛,0,80,1,79
烟台,0,58,0,58
临沂,0,49,0,49
济南,0,47,0,47
潍坊,0,44,0,44
威海,0,38,1,37
聊城,0,38,0,38
德州,0,37,2,35
泰安,0,35,2,33
淄博,0,30,1,29
枣庄,0,24,0,24
菏泽,0,18,0,18
滨州,0,15,0,15
provinceName,currentConfirm,confirm,death,cure
天津市,24,527,3,500
cityName,currentConfirm,confirm,death,cure
境外输入,24,380,0,356
宝坻区,0,60,2,58
河东区,0,15,1,14
滨海新区,0,13,0,13
河北区,0,12,0,12
北辰区,0,7,0,7
南开区,0,6,0,6
和平区,0,6,0,6
外地来津,0,6,0,6
东丽区,0,4,0,4
宁河区,0,4,0,4
河西区,0,4,0,4
西青区,0,4,0,4
武清区,0,2,0,2
红桥区,0,2,0,2
津南区,0,2,0,2
provinceName,currentConfirm,confirm,death,cure
福建省,22,1318,1,1295
cityName,currentConfirm,confirm,death,cure
境外输入人员,22,550,0,528
厦门,0,275,0,275
莆田,0,261,0,261
福州,0,72,1,71
泉州,0,71,0,71
宁德,0,26,0,26
漳州,0,23,0,23
南平,0,20,0,20
三明,0,14,0,14
龙岩,0,6,0,6
provinceName,currentConfirm,confirm,death,cure
江苏省,17,1617,0,1600
cityName,currentConfirm,confirm,death,cure
境外输入,15,162,0,147
常州,2,54,0,52
扬州,0,593,0,593
南京,0,329,0,329
苏州,0,87,0,87
徐州,0,79,0,79
淮安,0,78,0,78
无锡,0,55,0,55
连云港,0,48,0,48
南通,0,40,0,40
泰州,0,37,0,37
盐城,0,27,0,27
宿迁,0,16,0,16
镇江,0,12,0,12
provinceName,currentConfirm,confirm,death,cure
宁夏回族自治区,15,122,0,107
cityName,currentConfirm,confirm,death,cure
银川,23,72,0,49
吴忠,10,38,0,28
中卫,1,5,0,4
固原,0,5,0,5
宁东,0,1,0,1
石嘴山,0,1,0,1
待明确地区,-19,0,0,19
provinceName,currentConfirm,confirm,death,cure
陕西省,11,703,3,689
cityName,currentConfirm,confirm,death,cure
境外输入,6,441,0,435
西安,5,135,3,127
安康,0,26,0,26
汉中,0,26,0,26
咸阳,0,17,0,17
渭南,0,17,0,17
宝鸡,0,13,0,13
延安,0,8,0,8
铜川,0,8,0,8
商洛,0,7,0,7
榆林,0,3,0,3
韩城,0,1,0,1
杨凌,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
青海省,10,30,0,20
cityName,currentConfirm,confirm,death,cure
西宁,11,26,0,15
海东,1,1,0,0
海北州,0,3,0,3
待明确地区,-2,0,0,2
provinceName,currentConfirm,confirm,death,cure
内蒙古自治区,8,618,1,609
cityName,currentConfirm,confirm,death,cure
阿拉善盟,5,165,0,160
境外输入人员,3,323,0,320
呼伦贝尔,0,38,0,38
锡林郭勒盟,0,29,0,29
鄂尔多斯,0,12,0,12
包头,0,11,0,11
呼和浩特,0,10,0,10
赤峰,0,9,0,9
巴彦淖尔,0,8,1,7
通辽,0,7,0,7
乌兰察布,0,3,0,3
乌海市,0,2,0,2
兴安盟,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
江西省,7,959,1,951
cityName,currentConfirm,confirm,death,cure
上饶,7,144,0,137
南昌,0,230,0,230
新余,0,129,0,129
九江,0,117,0,117
宜春,0,106,0,106
赣州,0,74,1,73
抚州,0,72,0,72
萍乡,0,33,0,33
吉安,0,22,0,22
鹰潭,0,18,0,18
境外输入,0,7,0,7
景德镇,0,6,0,6
赣江新区,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
重庆市,6,610,6,598
cityName,currentConfirm,confirm,death,cure
长寿区,2,24,0,22
九龙坡区,1,22,1,20
两江新区,1,18,0,17
沙坪坝区,1,10,0,9
巴南区,1,7,0,6
万州区,0,118,4,114
江北区,0,28,0,28
境外输入,0,26,0,26
云阳县,0,25,0,25
合川区,0,23,0,23
綦江区,0,23,0,23
奉节县,0,22,0,22
开州区,0,21,1,20
忠县,0,21,0,21
渝中区,0,20,0,20
垫江县,0,20,0,20
潼南区,0,18,0,18
渝北区,0,17,0,17
南岸区,0,15,0,15
石柱县,0,15,0,15
大足区,0,14,0,14
巫溪县,0,14,0,14
铜梁区,0,10,0,10
丰都县,0,10,0,10
巫山县,0,10,0,10
璧山区,0,9,0,9
荣昌区,0,9,0,9
大渡口区,0,7,0,7
江津区,0,6,0,6
涪陵区,0,5,0,5
永川区,0,5,0,5
梁平区,0,4,0,4
高新区,0,4,0,4
黔江区,0,2,0,2
城口县,0,2,0,2
彭水县,0,2,0,2
武隆区,0,1,0,1
秀山县,0,1,0,1
酉阳县,0,1,0,1
万盛经开区,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
吉林省,6,581,3,572
cityName,currentConfirm,confirm,death,cure
长春,4,160,0,156
吉林市,1,61,1,59
延边,1,8,0,7
通化,0,313,1,312
四平,0,17,1,16
辽源,0,7,0,7
公主岭,0,6,0,6
松原,0,6,0,6
梅河口,0,2,0,2
白城,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
湖北省,5,68311,4512,63794
cityName,currentConfirm,confirm,death,cure
境外输入,5,83,0,78
武汉,0,50380,3869,46511
孝感,0,3518,129,3389
黄冈,0,2912,125,2787
荆州,0,1582,52,1530
鄂州,0,1395,59,1336
随州,0,1307,45,1262
襄阳,0,1175,40,1135
黄石,0,1015,39,976
荆门,0,971,41,930
宜昌,0,931,37,894
咸宁,0,836,15,821
十堰,0,672,8,664
仙桃,0,575,22,553
天门,0,498,15,483
恩施州,0,252,7,245
潜江,0,198,9,189
神农架林区,0,11,0,11
provinceName,currentConfirm,confirm,death,cure
山西省,4,264,0,260
cityName,currentConfirm,confirm,death,cure
境外输入,4,126,0,122
晋中,0,41,0,41
太原,0,21,0,21
运城,0,19,0,19
大同,0,12,0,12
晋城,0,10,0,10
长治,0,8,0,8
朔州,0,8,0,8
忻州,0,7,0,7
吕梁,0,6,0,6
阳泉,0,4,0,4
临汾,0,2,0,2
provinceName,currentConfirm,confirm,death,cure
湖南省,2,1197,4,1191
cityName,currentConfirm,confirm,death,cure
长沙,3,247,2,242
株洲,1,110,0,109
境外输入,1,65,0,64
岳阳,0,156,1,155
邵阳,0,102,1,101
常德,0,82,0,82
张家界,0,77,0,77
娄底,0,76,0,76
益阳,0,63,0,63
衡阳,0,48,0,48
永州,0,44,0,44
怀化,0,40,0,40
郴州,0,39,0,39
湘潭,0,38,0,38
湘西自治州,0,10,0,10
待明确地区,-3,0,0,3
provinceName,currentConfirm,confirm,death,cure
贵州省,2,159,2,155
cityName,currentConfirm,confirm,death,cure
遵义,2,44,0,42
贵阳,0,36,1,35
毕节,0,23,0,23
黔南州,0,17,0,17
六盘水,0,10,1,9
铜仁,0,10,0,10
黔东南州,0,10,0,10
安顺,0,4,0,4
黔西南州,0,4,0,4
境外输入,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
安徽省,0,1008,6,1002
cityName,currentConfirm,confirm,death,cure
合肥,0,176,1,175
蚌埠,0,160,5,155
阜阳,0,156,0,156
亳州,0,108,0,108
安庆,0,83,0,83
六安,0,77,0,77
宿州,0,41,0,41
马鞍山,0,38,0,38
芜湖,0,34,0,34
铜陵,0,29,0,29
淮北,0,27,0,27
淮南,0,27,0,27
池州,0,17,0,17
滁州,0,13,0,13
黄山,0,9,0,9
境外输入,0,7,0,7
宣城,0,6,0,6
provinceName,currentConfirm,confirm,death,cure
新疆维吾尔自治区,0,981,3,978
cityName,currentConfirm,confirm,death,cure
乌鲁木齐,0,845,0,845
喀什地区,0,80,0,80
伊犁州,0,19,0,19
兵团第四师,0,10,1,9
昌吉州,0,5,0,5
兵团第八师石河子市,0,4,1,3
兵团第九师,0,4,1,3
吐鲁番,0,3,0,3
巴州,0,3,0,3
兵团第十二师,0,3,0,3
兵团第六师五家渠市,0,2,0,2
兵团第七师,0,1,0,1
阿克苏地区,0,1,0,1
待明确地区,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
海南省,0,190,6,184
cityName,currentConfirm,confirm,death,cure
三亚,0,55,1,54
海口,0,41,0,41
境外输入,0,19,0,19
儋州,0,15,1,14
万宁,0,13,0,13
澄迈,0,9,1,8
昌江,0,7,0,7
琼海,0,6,1,5
临高,0,6,0,6
陵水,0,4,0,4
定安,0,3,1,2
文昌,0,3,0,3
东方,0,3,1,2
保亭,0,3,0,3
乐东,0,2,0,2
琼中,0,1,0,1
provinceName,currentConfirm,confirm,death,cure
澳门,0,77,0,77
provinceName,currentConfirm,confirm,death,cure
西藏自治区,0,1,0,1
cityName,currentConfirm,confirm,death,cure
拉萨,0,1,0,1
